,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_exp_mean_mp,0.0016202796866396918,0.2263592749755905,0.026248073365232775,0.25422762802746296,0.10651397231803521
feature_ele_Li,0.017913529419159246,0.12755490420650983,0.04795656458257448,0.19342499820824355,0.08103944116783121
feature_exp_max_mp,-3.3306690738754696e-16,0.13282329931481363,0.011531389485557288,0.14435468880037058,0.06048041059172486
feature_avg_dgf_300K,0.0003025219556503922,0.10782801296433364,0.00947413464994045,0.11760466956992449,0.049272931570165275
feature_ele_Mo,0.007750183211380879,0.07847392890382643,0.03136054892760731,0.11758466104281462,0.049264548580010975
feature_avg_p_h_300K,0.00017477077753813575,0.10115380782554395,0.004397881117452033,0.10572645972053411,0.04429630757023909
feature_text_is_sintered,0.016323936042977105,0.053435232254182896,0.02456111460645988,0.09432028290361988,0.039517451663987326
feature_exp_min_mp,-2.220446049250313e-16,0.08366864106810512,0.0027007223835079685,0.08636936345161286,0.0361862479667931
feature_min_dgf_300K,-2.220446049250313e-16,0.07231521858271861,-0.0019476012660179884,0.0703676173167004,0.029481982352238516
feature_min_p_h_300K,-2.220446049250313e-16,0.06883603852422027,-0.00013182792793397957,0.06870421059628606,0.02878506337947956
feature_ele_Ba,0.002509731037074636,0.04723344739293678,0.017712511172918794,0.0674556896029302,0.028261969443715715
feature_max_dgf_300K,-3.3306690738754696e-16,0.05434956469289154,-0.0015623889055234835,0.052787175787367725,0.022116289343483808
feature_ele_Sr,0.0011691287141378792,0.04075610083012149,0.006651664120633925,0.048576893664893296,0.020352303749455784
feature_ele_V,0.004146832883663909,0.029506297904677847,0.014669296665518656,0.04832242745386041,0.020245689817806684
feature_max_p_h_300K,-2.220446049250313e-16,0.0493336292587524,-0.0025419970841471266,0.04679163217460505,0.019604331176874195
feature_ele_Na,0.0037108194101885816,0.032308706198760584,0.007495997008639439,0.043515522617588606,0.018231736682033515
feature_thermo_first_ddf,-1.1102230246251565e-16,0.03754688705007969,0.0007629782385016171,0.0383098652885812,0.01605071786460123
feature_ele_Bi,0.0015616283313700796,0.03286340198993243,0.0038052693876689915,0.0382302997089715,0.016017382203918826
feature_thermo_total_ddf,-2.220446049250313e-16,0.034572542918528626,0.002341256756028284,0.036913799674556685,0.015465807029692661
feature_ele_Al,0.002455322239060531,0.023542919714608646,0.006798873532780723,0.032797115486449896,0.013741036244328876
feature_ele_Rb,0.006232353324514328,0.014148381174892255,0.010758029674026814,0.0311387641734334,0.01304623534004189
feature_ele_Si,0.007332784237874979,0.008613327261455805,0.011955672525851654,0.02790178402518244,0.011690034927915215
feature_ele_W,0.0005645239754482612,0.015038687409384854,0.008303086670862572,0.023906298055695687,0.01001604266651931
feature_ele_N,0.005647471929874359,0.008344306032581073,0.008847656759089708,0.022839434721545142,0.009569057999579168
feature_ele_Ga,0.005763748898912069,0.009462443529669629,0.0061394625147476725,0.02136565494332937,0.008951587193130085
feature_ele_Ce,0.003395913929140293,0.012222578616536417,0.0045343313697822326,0.02015282391545894,0.008443446313512194
feature_exp_div_mp,-2.220446049250313e-16,0.01935209854074993,0.0005111489541932596,0.019863247494942966,0.008322122226597997
feature_ele_Te,0.0008078371507266313,0.017012649940388425,0.0016839610767545876,0.019504448167869642,0.008171795757802523
feature_thermo_1573_15_first_df,-3.3306690738754696e-16,0.018989765706742268,0.00017746212036884952,0.019167227827110785,0.008030510255831874
feature_ele_Ta,-0.00013550578388532575,0.016635224877503685,0.001477483734248394,0.017977202827866752,0.007531924438032575
feature_thermo_1473_15_first_df,-1.1102230246251565e-16,0.01753694203022238,0.0003871045989944005,0.01792404662921667,0.007509653538856601
feature_thermo_1373_15_first_df,-2.220446049250313e-16,0.016084285719307867,0.0013754261272860687,0.017459711846593715,0.0073151107876759155
feature_ele_Sn,0.0038615105507934233,0.005701471727788343,0.006120736740136157,0.015683719018717922,0.006571021514715557
feature_text_is_ball_milling,0.00017939293513158372,0.01128582375737941,0.0025712515406317773,0.01403646823314277,0.005880871408147833
feature_thermo_1573_15_total_df,-2.220446049250313e-16,0.01314810493549523,0.000840251366804056,0.013988356302299065,0.0058607139102794265
feature_thermo_1273_15_first_df,-4.440892098500626e-16,0.009848037161044099,0.003903529106429493,0.013751566267473148,0.005761505781680949
