,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_exp_mean_mp,0.0001094092533620028,0.326792008058604,0.025015707732365992,0.351917125044332,0.12614793909734914
feature_exp_min_mp,-2.220446049250313e-16,0.27065430123138756,0.018048296587711163,0.2887025978190985,0.1034881088049986
feature_exp_max_mp,-2.220446049250313e-16,0.18192045191403317,0.007674516908331124,0.18959496882236407,0.0679620651514316
feature_avg_dgf_300K,0.002119595689025422,0.14945770005856407,0.00038409858667665857,0.15196139433426614,0.05447196329309753
feature_avg_p_h_300K,0.0019151171136279066,0.14117983142494284,0.003019254350383665,0.1461142028889544,0.05237598359264729
feature_max_dgf_300K,-2.220446049250313e-16,0.13766728495488711,-0.0012163394868099503,0.13645094546807696,0.04891209984883319
feature_max_p_h_300K,-2.220446049250313e-16,0.1286656972304019,-0.004134440703976609,0.12453125652642505,0.044639377416012024
feature_text_is_sintered,0.015301625167838617,0.06130420833491346,0.025098240397399843,0.10170407390015192,0.03645676327542305
feature_ele_Mo,0.0120451134133297,0.06825531136418661,0.020894318394191008,0.10119474317170732,0.03627418897840882
feature_min_p_h_300K,0.0,0.08507736410110334,-0.00582798573668214,0.0792493783644212,0.028407670567774775
feature_min_dgf_300K,-2.220446049250313e-16,0.08936005643696454,-0.010531739199512592,0.07882831723745173,0.028256737323493146
feature_ele_Bi,0.005421690398565326,0.061264719317031924,0.00694509827633669,0.07363150799193394,0.026393893120837373
feature_ele_Te,0.007941153955814961,0.047719583152166845,0.013042394367593656,0.06870313147557547,0.02462727110562264
feature_ele_Li,0.013427494129638617,0.03630732161537242,0.01573942912330742,0.06547424486831846,0.023469846922206748
feature_exp_div_mp,-2.220446049250313e-16,0.047752495553762375,0.009987029400167787,0.05773952495392994,0.02069726523391175
feature_ele_Si,0.01784433629999227,0.014742477001249199,0.015882970532429416,0.048469783833670885,0.017374441037336135
feature_ele_Na,0.011044392989077334,0.024052779252102474,0.009403890339045184,0.044501062580224994,0.015951816301722658
feature_ele_V,0.004365429930493825,0.028042240697929932,0.005966985994174065,0.03837465662259782,0.013755749584221958
feature_ele_Ce,0.00822047060469,0.02247145038363918,0.004355097331783163,0.035047018320112346,0.012562926944894406
feature_ele_Ga,0.008650769969251071,0.015269795395651653,0.010613794620561135,0.03453435998546386,0.012379159836746886
feature_ele_Al,0.005560316182679381,0.021604194235881224,-0.00015624276593743713,0.02700826765262317,0.009681362629166792
feature_ele_Fe,0.0002473123924471299,0.026532589984286203,-0.0015154909555565024,0.02526441142117683,0.009056261279946251
feature_ele_Zr,0.005533923503053373,0.02043717998922856,-0.0017059528605347027,0.02426515063174723,0.008698067034095173
feature_ele_Y,0.005580398455759639,0.013155676114292914,0.0027609396187464564,0.02149701418879901,0.007705802996435182
feature_ele_Hf,0.0034422927639190526,0.01560782698067209,0.0013157171764583827,0.020365836921049527,0.00730032207230456
feature_ele_Nd,0.004680918104927656,0.01498205083199633,0.0003451387484373311,0.020008107685361317,0.007172090728543574
feature_ele_La,0.003165198214538978,0.018172301600587693,-0.001731412598820366,0.019606087216306304,0.007027982783697608
feature_thermo_total_ddf,-2.220446049250313e-16,0.01622268685807804,0.0033055291589083307,0.01952821601698615,0.007000069134118779
feature_ele_Ta,0.002675256194526243,0.014739569339266678,0.0020037344950180145,0.019418560028810934,0.006960761933833359
feature_ele_Ti,0.008009742257218955,0.0068584738339513285,0.004265289020237631,0.019133505111407913,0.0068585813697149564
feature_ele_Lu,0.002668280899648545,0.01321171608823657,0.0027730091395172162,0.01865300612740233,0.0066863420774013515
feature_ele_Ag,-0.00010416697854365164,0.01785407418553364,-0.0007677440293690277,0.01698216317762096,0.006087413012373033
feature_ele_N,0.0004968957346104252,0.010556317990731978,0.005488072480320069,0.016541286205662472,0.005929376595699542
feature_ele_Cd,0.004765499206045298,0.0006914661816982415,0.010473406621247197,0.015930372008990737,0.005710388767625692
feature_ele_Pb,-2.861062206904741e-05,0.011618189675820845,0.0014537272178388916,0.013043306271590688,0.00467549342752053
