,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_text_is_polycrystal,0.021139317333220498,0.06855085232594571,0.036572114713208634,0.12626228437237486,0.1167015348568906
feature_ele_Si,0.011082514837929214,0.046647424666135806,0.025608506858641435,0.08333844636270646,0.0770279474307088
feature_text_is_phosphors,0.01387875338815392,0.03920414066894684,0.023168773939402188,0.07625166799650294,0.07047778942717194
feature_text_is_ball_milling,0.009020580983734816,0.032996105543197096,0.014538581963110078,0.05655526849004199,0.05227282770812506
feature_text_is_PVA,0.0053409612488991565,0.036110970252200114,0.009055161460728234,0.0505070929618275,0.04668262814271195
feature_text_is_binder,9.661995372034493e-05,0.030013371744321282,0.007481682769790692,0.03759167446783232,0.03474518245922421
feature_text_is_multi_heating,0.007225229243450593,0.01756158012762221,0.01275659801063114,0.03754340738170395,0.03470057022159323
feature_ele_Ru,0.005712835362327806,0.021532321912250185,0.008821889068697101,0.036067046343275094,0.03333600122108767
feature_ele_Mn,0.004317505245670206,0.01902613717501167,0.00745927581219199,0.030802918232873865,0.02847047995144765
feature_ele_Rb,0.006585423900351217,0.013925397518269156,0.008856804658596921,0.029367626077217296,0.027143870042829327
feature_ele_In,0.00472245083556877,0.015583748048915824,0.008553021103833786,0.02885921998831838,0.02667396114485541
feature_text_is_ground,0.003654874190536783,0.01737030767010539,0.004192352438897007,0.025217534299539178,0.023308028780654577
feature_text_is_sintered,0.004590943319387142,0.01136821053147119,0.00659230139103305,0.02255145524189138,0.02084382880499356
feature_ele_Ti,0.0028273289989623196,0.013507559455792628,0.005377783513817647,0.021712671968572593,0.020068559326105483
feature_ele_Cd,0.004467932656252782,0.00782172614355503,0.007918066918102283,0.020207725717910095,0.01867756962397506
feature_ele_Al,9.393079540798155e-05,0.011875310801006345,0.004819035454882285,0.01678827705129661,0.015517046196557556
feature_text_is_zirconia,-8.896017295279002e-05,0.014661442938483038,0.0021328812565780475,0.016705364022108295,0.015440411453142225
feature_ele_Hf,0.0030044721907036553,0.006518089906873303,0.004500765121715884,0.014023327219292843,0.012961462074180155
feature_ele_Sr,0.0023740697381479103,0.010343315237395623,0.00030730638344363625,0.01302469135898717,0.012038444260585916
feature_ele_Cs,0.004398560102177096,0.0038715923265607577,0.004741031798886044,0.013011184227623897,0.012025959907325218
feature_thermo_first_ddf,2.220446049250313e-16,0.011916890316488238,-0.00023405774688931512,0.011682832569599145,0.010798192818429577
feature_thermo_1573_15_first_df,2.220446049250313e-16,0.009838104463484432,0.0017393241313986194,0.011577428594883274,0.010700770174046864
feature_thermo_1473_15_first_df,0.0,0.008397857706572975,0.003112058434714622,0.011509916141287598,0.010638369853985067
