,Interactional Dominance,Individual Dominance,Estimated Average Partial Dominance,Total Dominance,Percentage Relative Importance
feature_text_is_regrinding,0.03938105684899196,0.07591298967568882,0.051021202786816315,0.1663152493114971,0.13861446055632703
feature_text_is_phosphors,0.021139280714462028,0.022858152500626394,0.02739311906955109,0.07139055228463952,0.059500033428801696
feature_text_is_polycrystal,0.007838377115099049,0.042321185325469135,0.015528436387309372,0.06568799882787756,0.05474727398867239
feature_text_is_binder,0.0027671166187670515,0.04921327197180991,0.00887909923917436,0.06085948782975133,0.050722980064535565
feature_text_is_sintered,0.0033084627393097366,0.04324346966682302,0.013079857868520625,0.05963179027465338,0.049699762800750606
feature_text_is_ground,0.013617603143541768,0.024753424285706926,0.013544935413926287,0.051915962843174984,0.04326905207766507
feature_text_is_distilled,0.0045015414349783844,0.029743583766466908,0.006675292654349464,0.040920417855794755,0.034104880161631546
feature_text_is_PVA,8.560041938965313e-05,0.035621501201848815,0.0049959593829339375,0.040703061004172404,0.03392372537961018
feature_ele_Th,0.01603995988439233,0.009845783687738474,0.013138209313777809,0.03902395288590861,0.032524282652665985
feature_ele_Hf,0.011434408961390807,0.014689533163972923,0.010911732504312564,0.037035674629676295,0.030867163903396458
feature_text_is_ball_milling,1.8441576886907285e-05,0.035064460105172834,0.001743951938390943,0.036826853620450684,0.030693123268719463
feature_text_is_diameter,0.0007935727841315021,0.031118829036810736,-0.0006522089487045043,0.03126019287223773,0.026053622802538957
feature_ele_Pb,0.00641317200121283,0.015399517737412327,0.008772173183938975,0.030584862922564134,0.02549077305148449
feature_text_is_wet,0.0033011951394839034,0.01662434878835628,0.005912643224703811,0.025838187152543993,0.0215346842140453
feature_ele_Te,0.0029536306492057296,0.013076720880649595,0.006912796411773655,0.02294314794162898,0.01912183091182764
feature_text_is_zirconia,0.0016781923788059538,0.016643842036622614,0.002664364830593047,0.020986399246021616,0.017490990288320477
feature_ele_Ba,0.004297270313884605,0.01084990603520497,0.003536065027244688,0.018683241376334262,0.015571436988160749
feature_ele_Ho,0.007645194097496422,0.006451650009508647,0.004557870369536614,0.018654714476541684,0.015547661412304284
feature_ele_Bi,0.003689783941692615,0.005752837272849365,0.0069256615554601384,0.01636828277000212,0.013642048433861933
feature_ele_Lu,0.007541538469136411,0.004481455241210797,0.0038275587526884355,0.01585055246303564,0.01321054917260412
feature_ele_Ir,0.00031007954072559407,0.011521240927233611,0.0037511512966061124,0.015582471764565318,0.01298711890052829
feature_ele_Ta,0.0008788017585881214,0.007951752975011384,0.006530931447523865,0.01536148618112337,0.012802939773440795
feature_thermo_1573_15_first_df,0.0,0.01248853420064766,0.0020305412761560337,0.014519075476803695,0.01210083755593791
feature_ele_Er,0.008462077995114226,0.003966227650465393,0.0013744484652336577,0.013802754110813276,0.011503823751474525
feature_thermo_first_ddf,-2.220446049250313e-16,0.012539576350087844,0.000985263609093277,0.0135248399591809,0.011272197846039117
feature_ele_Ti,7.848182362879541e-06,0.015476461322123547,-0.002076907422445761,0.013407402082040665,0.011174319942142373
feature_ele_Tm,0.006112827851140756,0.0051001759070284924,0.0015298787572215183,0.012742882515390767,0.010620480040860799
feature_ele_Mg,-6.629155981197066e-05,0.011076797956520279,0.0014083835736884262,0.012418889970396734,0.010350450371094885
feature_thermo_1473_15_first_df,-1.1102230246251565e-16,0.012107060595605623,5.638136417389916e-06,0.012112698732022902,0.010095257095012482
feature_thermo_total_ddf,-2.220446049250313e-16,0.01038295467255379,0.001610779242661732,0.0119937339152153,0.009996106572283909
feature_ele_Zn,0.0005099347930357379,0.009179579150603745,0.0016523986916189845,0.011341912635258466,0.009452849982918923
feature_text_is_homoge,0.0031607274705763855,0.004380940896745789,0.0034645119911662337,0.011006180358488408,0.009173035903160862
feature_thermo_1373_15_first_df,-1.1102230246251565e-16,0.010867501517700884,-0.0003373575820550165,0.010530143935645756,0.008776286162949658
feature_ele_Mn,9.513600658772603e-05,0.004324407923198215,0.006077664125483206,0.010497208055269148,0.008748835948310588
feature_ele_Y,0.004324746845899896,0.0035870388023798716,0.001355907747748528,0.009267693396028296,0.007724104229828382
feature_ele_Pr,0.001709011852205844,0.004060674613877602,0.0034025093522986206,0.009172195818382066,0.007644512338738014
feature_thermo_1173_15_first_df,-1.1102230246251565e-16,0.008917574357941604,-0.00010360867495405962,0.008813965682987434,0.007345947551814928
feature_avg_p_h_300K,0.005642386946705491,0.0014326468373696555,0.001147405697555678,0.008222439481630824,0.006852943538981382
feature_thermo_1373_15_total_df,-3.3306690738754696e-16,0.005903884172915763,0.0017112982945955907,0.007615182467511021,0.0063468287733196415
feature_thermo_1273_15_first_df,-1.1102230246251565e-16,0.009112730370325117,-0.0015386427118926887,0.0075740876584323175,0.00631257854782504
feature_ele_K,0.005271505357539064,0.0007524170695621946,0.001538822544507271,0.0075627449716085295,0.006303125052599271
feature_thermo_1073_15_first_df,-2.220446049250313e-16,0.007943181485533524,-0.0006865280396016241,0.007256653445931677,0.0060480148814742295
feature_thermo_1473_15_total_df,-1.1102230246251565e-16,0.005930509145234852,0.0012587628989678562,0.007189272044202597,0.0059918562508563455
feature_ele_Si,8.213906497145373e-05,0.0051138446284039185,0.0017760260310991322,0.006972009724474504,0.005810780255882961
feature_ele_Ag,0.0010438691019568624,0.0036306683324510702,0.002074370183394068,0.006748907617802001,0.00562483712503109
feature_text_is_multi_heating,0.003925706304384269,0.0007202490583810839,0.0015985307470578194,0.006244486109823172,0.005204430003549772
feature_text_is_again,0.000306921961749973,0.006498769262679782,-0.0006930881078280709,0.006112603116601684,0.00509451290311774
feature_ele_Gd,0.003905962904634297,0.0018396016924064895,4.425330667354455e-06,0.005749989927708141,0.004792295086187747
feature_thermo_1573_15_total_df,-1.1102230246251565e-16,0.006292200286610483,-0.00101579514017231,0.005276405146438062,0.004397588652140391
feature_thermo_1273_15_last_df,0.001709181633660295,0.0016343354100332164,0.0017223387390423411,0.005065855782735853,0.004222107530650456
feature_ele_Ga,-5.608075081542374e-06,0.003287857615398848,0.001469216834346996,0.0047514663746643015,0.003960081538536884
feature_thermo_1173_15_last_df_frac,0.004473708193389547,5.1220976742705204e-05,5.4753048891882095e-05,0.004579682219024135,0.003816909050356994
feature_thermo_1073_15_total_df,-2.220446049250313e-16,0.003246899523252633,0.0011689317684885545,0.004415831291740966,0.0036803484644153395
feature_ele_N,0.0021588649816067784,0.003474569392900917,-0.0012395326219136133,0.004393901752594082,0.003662071419756609
feature_avg_dgf_300K,0.005746141275189909,0.0013450019925311807,-0.0029890173057283524,0.004102125961992737,0.0034188926133330816
feature_thermo_1273_15_total_df,-1.1102230246251565e-16,0.005033166984578119,-0.0010229508042557992,0.004010216180322209,0.003342290949571938
feature_ele_Nb,0.0002108941524590069,0.003727055503371046,-1.7624170321180465e-05,0.003920325485508872,0.0032673720818062585
feature_exp_div_mp,-1.1102230246251565e-16,0.002639030267131637,0.0010411049721968857,0.0036801352393284114,0.003067186942181215
feature_thermo_1373_15_last_df_frac,0.0011161551465345143,0.0003912350211098259,0.00140682050876037,0.0029142106764047104,0.0024288316467045894
feature_thermo_1173_15_last_df,0.0025713017791508808,0.0013356674866656926,-0.0011048768697307987,0.0028020923960857744,0.00233538732930586
feature_ele_Co,0.001428192005133,0.0010391270710523592,0.00032623550856303475,0.002793554584748394,0.00232827154095956
feature_ele_As,-0.00014668299631792614,0.0035915187423015693,-0.0006838975331813135,0.0027609382128023297,0.0023010876187315957
feature_ele_Dy,0.0021048103484399006,-0.00024113063780117905,0.000872342911728724,0.0027360226223674456,0.002280321867293462
feature_ele_U,0.0019802047322194927,0.0014556280457658222,-0.0007092194262223486,0.002726613351762966,0.0022724797663768725
feature_thermo_1073_15_last_df,-0.00019090478152816726,0.0009888919039592325,0.0018294683839105512,0.0026274555063416165,0.0021898372467648248
feature_ele_Sn,0.0005306256547599197,0.0006800044799996074,0.0011506116279760023,0.0023612417627355293,0.0019679629771749995
feature_ele_Sm,0.000273900646819647,-4.3707733201170385e-05,0.002105539712126603,0.0023357326257450795,0.0019467025378717695
feature_thermo_1173_15_total_df,-2.220446049250313e-16,0.004214370066391693,-0.0018948016706334435,0.002319568395758027,0.0019332305560226055
feature_thermo_1473_15_last_df,-1.6308171604473287e-05,0.001682860932884056,0.0006168055792676816,0.002283358340547264,0.0019030514997392333
feature_exp_min_mp,-1.1102230246251565e-16,0.0005192454492506382,0.0017403166263889967,0.002259562075639524,0.001883218643539355
feature_ele_Li,0.0026139304744760006,0.0038148114093293772,-0.004807855791280236,0.0016208860925251414,0.0013509179240552875
feature_ele_Sc,0.0017209044470378743,-0.0001890677112781347,2.9117413695514683e-05,0.0015609541494552542,0.0013009680006831638
feature_ele_V,3.07299753655732e-05,0.0010943810872374726,0.00042560891810344115,0.001550719980706487,0.00129243839328862
feature_ele_In,0.00032195573711046865,0.0016896847637082324,-0.0005787096499994199,0.0014329308508192811,0.0011942677398680528
feature_thermo_1573_15_last_df,-0.00017308130912907504,0.0015985984709143697,9.622833600317348e-07,0.0014264794451453264,0.00118889085397799
feature_thermo_1573_15_first_df_frac,0.0014644930265338418,-2.024758007923566e-07,-7.804368449610883e-05,0.0013862468662369407,0.0011553592491175676
feature_ele_Cd,-4.116304821266681e-05,-0.00029234643430497975,0.0017177403377678974,0.0013842308552502508,0.0011536790166881753
