,Valid
0,0.2057628331685769
1,0.2665422259847179
2,0.26182556890358977
3,0.2787407222195859
4,0.27265922603311343
5,0.27021320636661206
6,0.29177230130623033
7,0.31013274897865173
8,0.32001075791156397
9,0.3428393683982993
10,0.37063461536983267
11,0.3761123839016842
12,0.37885209144876164
13,0.38602794624088
14,0.39083645859082305
15,0.40064682176330224
16,0.41259863700381605
17,0.41393263913848577
18,0.4169773606511913
19,0.4170776220987077
20,0.42112665045387165
21,0.4210095208975515
22,0.419323964015356
23,0.4199299836685757
24,0.4220690178781068
25,0.4298208121055498
26,0.4265857177999989
27,0.4323174870821467
28,0.4414509405469703
29,0.4423475022276211
30,0.44271111786286255
31,0.4429056628403064
32,0.44289583375168784
33,0.440998645914353
34,0.4470073790662429
35,0.4429270176607495
36,0.44076976193118556
