,Valid
0,0.2050854212670008
1,0.20382933798092795
2,0.3024976885665299
3,0.2721127251887252
4,0.36107906288404856
5,0.3560638177587361
6,0.3582889568801565
7,0.3663825966767821
8,0.3576059249649991
9,0.3461988660672416
10,0.33651896128196324
11,0.35027813530258456
12,0.3807585333200033
13,0.3927084734631807
14,0.39564521099845806
15,0.3963864083803422
16,0.37849041579946996
17,0.39803039657949724
18,0.39947056784155754
19,0.40806878315467965
20,0.3911704258051769
21,0.4000604060085675
22,0.39928145522733816
23,0.40087435100773183
24,0.40817445700346333
25,0.39927576348633265
26,0.39927576348633265
27,0.3897075608437366
28,0.395124049845756
29,0.3989406705398736
30,0.4229603806022204
31,0.4212872464665246
32,0.41216047722464655
33,0.42953368269067516
34,0.3957375081348219
35,0.39866894045518586
36,0.41761579482583955
37,0.4208650842597019
38,0.4208302166333544
39,0.4182396253895041
